%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=205830, 2015/04/21 2:8:8.30)
1 13 9.078414e-02 1.063057e+00 9.612199e-01 9.612199e-01 9.788593e-01 9.840638e-01 9.866176e-01 9.909483e-01 9.940789e-01 9.947620e-01 9.947620e-01 9.947620e-01 9.947620e-01 9.947620e-01 9.947620e-01 9.953884e-01 9.962172e-01 1.001110e+00 1.012612e+00 1.019980e+00 1.063057e+00 
2 25 8.497956e-02 1.072426e+00 9.461402e-01 9.461402e-01 9.617405e-01 9.701072e-01 9.805397e-01 9.825659e-01 9.828614e-01 9.854956e-01 9.865059e-01 9.894847e-01 9.904874e-01 9.909543e-01 9.926819e-01 9.945158e-01 1.003012e+00 1.009964e+00 1.023542e+00 1.029609e+00 1.072426e+00 
3 37 8.116435e-02 1.095665e+00 9.350967e-01 9.350967e-01 9.462629e-01 9.500710e-01 9.713696e-01 9.744425e-01 9.761082e-01 9.780336e-01 9.816626e-01 9.820609e-01 9.832925e-01 9.874716e-01 9.953238e-01 9.989497e-01 1.003204e+00 1.008400e+00 1.020304e+00 1.034359e+00 1.095665e+00 
4 49 7.609567e-02 1.101151e+00 9.177092e-01 9.177092e-01 9.418889e-01 9.448042e-01 9.519001e-01 9.673961e-01 9.710226e-01 9.724189e-01 9.742156e-01 9.789599e-01 9.811976e-01 9.832073e-01 9.931564e-01 9.958105e-01 1.002976e+00 1.008423e+00 1.023216e+00 1.033371e+00 1.101151e+00 
5 61 7.398493e-02 1.108550e+00 9.221019e-01 9.221019e-01 9.354529e-01 9.381620e-01 9.502692e-01 9.568695e-01 9.601402e-01 9.645808e-01 9.676393e-01 9.738902e-01 9.789846e-01 9.863304e-01 9.924842e-01 9.999699e-01 1.007055e+00 1.013718e+00 1.026858e+00 1.053848e+00 1.108550e+00 
6 73 7.226403e-02 1.107672e+00 9.164576e-01 9.164576e-01 9.248397e-01 9.329569e-01 9.364797e-01 9.494370e-01 9.531850e-01 9.590240e-01 9.655185e-01 9.699946e-01 9.779311e-01 9.874367e-01 9.959300e-01 1.003013e+00 1.014105e+00 1.017656e+00 1.047584e+00 1.072329e+00 1.107672e+00 
7 85 7.030091e-02 1.092051e+00 8.988409e-01 8.988409e-01 9.140248e-01 9.293743e-01 9.324094e-01 9.389333e-01 9.464558e-01 9.571987e-01 9.609497e-01 9.664612e-01 9.764199e-01 9.849696e-01 9.971679e-01 1.004636e+00 1.018519e+00 1.026398e+00 1.052381e+00 1.074022e+00 1.092051e+00 
8 97 6.862732e-02 1.092689e+00 8.914582e-01 8.914582e-01 9.105405e-01 9.172030e-01 9.265510e-01 9.335196e-01 9.397071e-01 9.544874e-01 9.570421e-01 9.600200e-01 9.748724e-01 9.811142e-01 9.932724e-01 1.000190e+00 1.017645e+00 1.046752e+00 1.051516e+00 1.080686e+00 1.092689e+00 
9 109 6.725606e-02 1.114366e+00 8.811340e-01 8.811340e-01 9.025806e-01 9.115625e-01 9.238779e-01 9.278262e-01 9.357889e-01 9.516576e-01 9.529514e-01 9.651650e-01 9.687043e-01 9.769308e-01 9.900831e-01 9.967800e-01 1.025696e+00 1.038238e+00 1.057862e+00 1.078083e+00 1.114366e+00 
10 121 6.617620e-02 1.135389e+00 8.668953e-01 8.668953e-01 8.905262e-01 9.048005e-01 9.154238e-01 9.238644e-01 9.327279e-01 9.361144e-01 9.485543e-01 9.587657e-01 9.630259e-01 9.771832e-01 9.863406e-01 1.000230e+00 1.016051e+00 1.024618e+00 1.078060e+00 1.089088e+00 1.135389e+00 
11 133 6.823171e-02 1.169175e+00 8.642899e-01 8.642899e-01 8.847599e-01 8.981402e-01 9.097346e-01 9.216097e-01 9.315474e-01 9.381131e-01 9.417759e-01 9.566002e-01 9.672216e-01 9.729535e-01 9.931524e-01 9.967914e-01 1.023436e+00 1.037143e+00 1.074653e+00 1.105512e+00 1.169175e+00 
12 145 6.773547e-02 1.190344e+00 8.575995e-01 8.575995e-01 8.797882e-01 8.912559e-01 9.075502e-01 9.135593e-01 9.287006e-01 9.389347e-01 9.487162e-01 9.526158e-01 9.634999e-01 9.727108e-01 9.924283e-01 9.988190e-01 1.031048e+00 1.045995e+00 1.069574e+00 1.098916e+00 1.190344e+00 
13 157 6.958434e-02 1.246239e+00 8.509819e-01 8.509819e-01 8.649650e-01 8.962846e-01 9.019089e-01 9.113827e-01 9.241091e-01 9.371291e-01 9.475006e-01 9.557675e-01 9.607735e-01 9.716324e-01 9.921222e-01 1.011537e+00 1.014200e+00 1.044966e+00 1.063151e+00 1.097301e+00 1.246239e+00 
14 169 7.197464e-02 1.298367e+00 8.407637e-01 8.407637e-01 8.693227e-01 8.946163e-01 8.960554e-01 9.102047e-01 9.285414e-01 9.315719e-01 9.434811e-01 9.470400e-01 9.513018e-01 9.773819e-01 9.905708e-01 1.003492e+00 1.009831e+00 1.036531e+00 1.065230e+00 1.101351e+00 1.298367e+00 
15 181 7.347041e-02 1.327542e+00 8.285750e-01 8.285750e-01 8.733478e-01 8.865152e-01 8.956864e-01 9.061517e-01 9.226908e-01 9.295099e-01 9.362725e-01 9.456012e-01 9.591988e-01 9.871443e-01 9.915231e-01 1.003510e+00 1.010343e+00 1.033127e+00 1.072481e+00 1.098390e+00 1.327542e+00 
16 193 7.647947e-02 1.371685e+00 8.234311e-01 8.234311e-01 8.703465e-01 8.803027e-01 8.850676e-01 9.040371e-01 9.182708e-01 9.213102e-01 9.307254e-01 9.331547e-01 9.575036e-01 9.836097e-01 9.869864e-01 1.004601e+00 1.025492e+00 1.029057e+00 1.068974e+00 1.103405e+00 1.371685e+00 
17 205 7.712944e-02 1.400971e+00 8.130913e-01 8.130913e-01 8.629729e-01 8.646874e-01 8.778758e-01 9.005405e-01 9.179393e-01 9.208009e-01 9.263097e-01 9.495224e-01 9.597331e-01 9.760354e-01 9.857315e-01 1.004497e+00 1.023363e+00 1.038124e+00 1.073693e+00 1.101152e+00 1.400971e+00 
18 217 7.704821e-02 1.421258e+00 8.007297e-01 8.007297e-01 8.551796e-01 8.627746e-01 8.710861e-01 8.980475e-01 9.099942e-01 9.147065e-01 9.226827e-01 9.451074e-01 9.613640e-01 9.697484e-01 9.842782e-01 1.007682e+00 1.020409e+00 1.057812e+00 1.064073e+00 1.110797e+00 1.421258e+00 
19 229 7.850059e-02 1.444005e+00 7.907363e-01 7.907363e-01 8.379030e-01 8.561668e-01 8.702458e-01 8.902614e-01 8.992008e-01 9.035148e-01 9.233369e-01 9.399018e-01 9.556128e-01 9.682115e-01 9.959980e-01 1.006933e+00 1.019354e+00 1.063060e+00 1.090450e+00 1.119302e+00 1.444005e+00 
20 241 8.212350e-02 1.518304e+00 7.815602e-01 7.815602e-01 8.227961e-01 8.580725e-01 8.622335e-01 8.835216e-01 8.983092e-01 9.056562e-01 9.177492e-01 9.366075e-01 9.527773e-01 9.686910e-01 9.903732e-01 1.000847e+00 1.015077e+00 1.060709e+00 1.103172e+00 1.130201e+00 1.518304e+00 
21 253 8.530604e-02 1.564649e+00 7.709203e-01 7.709203e-01 8.216144e-01 8.531951e-01 8.550908e-01 8.813245e-01 8.926465e-01 9.003926e-01 9.152160e-01 9.395677e-01 9.515937e-01 9.696477e-01 9.850818e-01 1.002266e+00 1.019860e+00 1.060782e+00 1.100890e+00 1.130851e+00 1.564649e+00 
22 265 8.362674e-02 1.579314e+00 7.531218e-01 7.531218e-01 8.165549e-01 8.402739e-01 8.594804e-01 8.701002e-01 8.920815e-01 9.041135e-01 9.066469e-01 9.345226e-01 9.561582e-01 9.695459e-01 9.843577e-01 1.002785e+00 1.021497e+00 1.045731e+00 1.111083e+00 1.128210e+00 1.579314e+00 
23 277 8.615335e-02 1.632869e+00 7.451428e-01 7.451428e-01 8.084396e-01 8.371732e-01 8.562239e-01 8.601336e-01 8.894216e-01 8.996998e-01 9.112106e-01 9.336330e-01 9.571363e-01 9.709661e-01 9.910528e-01 9.977718e-01 1.026801e+00 1.054886e+00 1.114199e+00 1.150969e+00 1.632869e+00 
24 289 8.861947e-02 1.632776e+00 7.407402e-01 7.407402e-01 8.072600e-01 8.368673e-01 8.505555e-01 8.564443e-01 8.863804e-01 8.959620e-01 9.163562e-01 9.379423e-01 9.597122e-01 9.672406e-01 9.870847e-01 1.002106e+00 1.030008e+00 1.056785e+00 1.123547e+00 1.163749e+00 1.632776e+00 
25 301 9.165895e-02 1.647501e+00 7.306634e-01 7.306634e-01 8.027075e-01 8.352166e-01 8.513086e-01 8.686021e-01 8.794781e-01 8.927775e-01 9.127524e-01 9.348535e-01 9.582322e-01 9.728011e-01 9.918181e-01 1.000817e+00 1.030530e+00 1.051495e+00 1.119311e+00 1.173011e+00 1.647501e+00 
26 313 9.510823e-02 1.672776e+00 7.183056e-01 7.183056e-01 7.958026e-01 8.301509e-01 8.413928e-01 8.679346e-01 8.727020e-01 8.932795e-01 9.133153e-01 9.210165e-01 9.504809e-01 9.706053e-01 9.899156e-01 1.025414e+00 1.029114e+00 1.047721e+00 1.120957e+00 1.184537e+00 1.672776e+00 
27 325 9.822378e-02 1.675448e+00 7.115515e-01 7.115515e-01 7.914910e-01 8.296848e-01 8.412371e-01 8.663255e-01 8.734923e-01 8.905083e-01 9.058521e-01 9.137409e-01 9.408351e-01 9.758880e-01 9.870867e-01 1.020296e+00 1.032734e+00 1.040333e+00 1.129147e+00 1.229623e+00 1.675448e+00 
28 337 1.009388e-01 1.709931e+00 6.968703e-01 6.968703e-01 7.869516e-01 8.269184e-01 8.407592e-01 8.507696e-01 8.724080e-01 8.876921e-01 9.044429e-01 9.152543e-01 9.337665e-01 9.604345e-01 9.875282e-01 1.021103e+00 1.028279e+00 1.032023e+00 1.140250e+00 1.253974e+00 1.709931e+00 
29 349 1.081251e-01 1.770588e+00 6.867641e-01 6.867641e-01 7.819913e-01 8.201908e-01 8.346935e-01 8.471732e-01 8.708373e-01 8.826132e-01 9.051393e-01 9.086273e-01 9.221867e-01 9.631449e-01 9.916394e-01 1.014565e+00 1.025476e+00 1.031607e+00 1.139309e+00 1.272524e+00 1.770588e+00 
